video_id,start_time,end_time,filename,phrase,word_boundaries,neg_files,num_frames,score,correct_2spk,correct_4spk,correct_6spk
oVKqGic31f8,121.32,124.2,oVKqGic31f8_121.320000-124.200000/00000,lone parent family so is it the one parent and the absent,"[['lone', 0, 3], ['parent', 4, 11], ['family', 12, 22], ['so', 25, 28], ['is', 30, 32], ['it', 33, 35], ['the', 36, 37], ['one', 40, 43], ['parent', 44, 53], ['and', 55, 57], ['the', 58, 60], ['absent', 64, 72]]","['zA8_hWE9Qrs_241.246000-244.086000/00000', 'Fnl7SI2KlbM_115.040000-117.920000/00001', '8ingHnmvfAY_32.270200-35.110200/00000', 'OtVgSl6hA28_227.960000-230.840000/00000', 'u3xzUzBp4BE_202.127067-204.967067/00000']",73,"[0.92404795, 0.6392162, 0.61167806]",0.0,0.0,0.0
uMJB1fGB6Ng,253.679933,256.639933,uMJB1fGB6Ng_253.679933-256.639933/00000,value of the shave irritation slowed,"[['value', 0, 9], ['of', 9, 11], ['the', 11, 14], ['shave', 16, 24], ['irritation', 47, 64], ['slowed', 64, 74]]","['uzgdaJCf0Mk_231.366933-234.326933/00000', 'Dt-8Io0i_F4_232.509000-235.509000/00001', 'nT40EZ5ZUD0_93.223267-96.183267/00000', 'zuC2WzMLzzs_202.800000-205.760000/00000', '6b8aekOT3Po_270.523067-273.443067/00000']",76,,,,
gRwzoWCwKVA,206.08,208.92,gRwzoWCwKVA_206.080000-208.920000/00001,of a dance group called hood nerds and every single one of us had,"[['of', 0, 1], ['a', 2, 3], ['dance', 4, 12], ['group', 12, 18], ['called', 19, 25], ['hood', 25, 29], ['nerds', 30, 37], ['and', 38, 41], ['every', 49, 52], ['single', 53, 58], ['one', 59, 61], ['of', 62, 63], ['us', 65, 66], ['had', 67, 71]]","['7ygifPlY2dM_141.900400-144.700400/00000', 'kKLNfnKgjNI_74.263967-77.063967/00000', '4Q207Z-HkUo_60.600000-63.440000/00000', '6EUq0VJb1_c_151.163467-153.963467/00000', 'xeAdUEIb_ys_70.480000-73.280000/00000']",72,"[0.8020163, 0.89498705, 0.8897431]",0.0,0.0,0.0
jWwaLtUayqg,135.213,138.213,jWwaLtUayqg_135.213000-138.213000/00000,there but anyway she walked her mother,"[['there', 0, 6], ['but', 16, 19], ['anyway', 20, 28], ['she', 32, 46], ['walked', 50, 61], ['her', 67, 69], ['mother', 70, 75]]","['YhK7opcG6ao_53.558333-56.558333/00000', 'QROlnWn5ppM_257.297000-260.297000/00000', 'fpRCOvboF6Q_200.559200-203.559200/00000', 'OMEtdx-999o_125.963200-128.963200/00000', 'qYZIT-h7f5M_218.233333-221.233333/00000']",77,,,,
s7kacHMVmig,290.423,293.343,s7kacHMVmig_290.423000-293.343000/00000,demand of themselves sort of independence of,"[['demand', 0, 10], ['of', 12, 13], ['themselves', 15, 31], ['sort', 37, 41], ['of', 42, 43], ['independence', 49, 68], ['of', 71, 73]]","['uzgdaJCf0Mk_231.366933-234.326933/00000', 'Dt-8Io0i_F4_232.509000-235.509000/00001', 'nT40EZ5ZUD0_93.223267-96.183267/00000', 'zuC2WzMLzzs_202.800000-205.760000/00000', '6b8aekOT3Po_270.523067-273.443067/00000']",76,,,,
OlAO9Ho-N58,90.863267,93.943267,OlAO9Ho-N58_90.863267-93.943267/00000,to this line and we need to center our robot with that,"[['to', 0, 2], ['this', 3, 7], ['line', 8, 14], ['and', 28, 32], ['we', 46, 48], ['need', 49, 51], ['to', 52, 54], ['center', 54, 60], ['our', 61, 62], ['robot', 63, 69], ['with', 70, 73], ['that', 74, 77]]","['stSeGmIcoZM_286.404000-289.484000/00000', 'yFEb4BME4tE_66.720000-69.840000/00000', '9j1C9Lf9z7A_294.280000-297.400000/00000', '0YTOCK5V4R8_104.720000-107.840000/00000', '02PPZ3EAnak_39.033333-42.113333/00001']",79,"[0.9794956, 0.9655168, 0.6478334]",0.0,0.0,0.0
6SKGIJ2brzg,277.230167,281.230167,6SKGIJ2brzg_277.230167-281.230167/00000,you know what formula you want but you dont remember the excel syntax,"[['you', 0, 14], ['know', 32, 36], ['what', 37, 40], ['formula', 41, 51], ['you', 52, 55], ['want', 56, 61], ['but', 62, 65], ['you', 65, 67], ['dont', 68, 72], ['remember', 73, 80], ['the', 81, 83], ['excel', 85, 93], ['syntax', 93, 100]]","['wCNyuLdwUxI_81.516000-85.516000/00000', 'f6dzxEHnb60_127.916711-131.876711/00000', 'rbnipg_DsJk_151.696533-155.616533/00000', 'ulsh4MDFOnc_35.983000-39.983000/00000', 'UewMoWZPrkk_73.985367-77.985367/00000']",101,"[0.8494788, 0.48750514, 0.9163251]",1.0,0.0,0.0
n9KhDjGGHCk,272.123067,274.923067,n9KhDjGGHCk_272.123067-274.923067/00000,is that stress shuts down this,"[['is', 0, 2], ['that', 4, 9], ['stress', 15, 28], ['shuts', 36, 44], ['down', 47, 57], ['this', 65, 70]]","['7ygifPlY2dM_141.900400-144.700400/00000', 'kKLNfnKgjNI_74.263967-77.063967/00000', '4Q207Z-HkUo_60.600000-63.440000/00000', '6EUq0VJb1_c_151.163467-153.963467/00000', 'xeAdUEIb_ys_70.480000-73.280000/00000']",72,,,,
YhK7opcG6ao,139.185033,142.025033,YhK7opcG6ao_139.185033-142.025033/00000,is in current conscious awareness can potentially be,"[['is', 0, 1], ['in', 3, 5], ['current', 7, 14], ['conscious', 16, 25], ['awareness', 26, 39], ['can', 50, 53], ['potentially', 54, 65], ['be', 67, 71]]","['zA8_hWE9Qrs_241.246000-244.086000/00000', 'Fnl7SI2KlbM_115.040000-117.920000/00001', '8ingHnmvfAY_32.270200-35.110200/00000', 'OtVgSl6hA28_227.960000-230.840000/00000', 'u3xzUzBp4BE_202.127067-204.967067/00000']",73,,,,
FxRzHVTNaFI,275.603067,277.363067,FxRzHVTNaFI_275.603067-277.363067/00000,think what works for me and my,"[['think', 0, 4], ['what', 6, 10], ['works', 10, 17], ['for', 19, 23], ['me', 26, 32], ['and', 35, 37], ['my', 39, 44]]","['YhK7opcG6ao_97.123533-98.843533/00000', 'FQ0UwvWltrY_55.280000-57.080000/00000', 'mj3Tt0uratA_170.749300-172.509300/00000', 'CF2HyCYJrFU_170.122567-171.882567/00000', '1kgrbYCHspE_293.786267-295.506267/00001']",46,,,,
